Employee_ID,Department,Location,Exit_Date,Experience_Years
E00001,IT,New York,2024-07-03,7
E00006,IT,Sydney,2025-05-05,1
E00017,IT,Berlin,2025-11-22,10
E00018,Sales,London,2025-12-05,2
E00020,IT,Sydney,2025-06-09,1
E00024,Finance,Sydney,2025-02-21,4
E00037,Sales,New York,2022-05-04,6
E00038,R&D,Tokyo,2019-01-16,9
E00041,R&D,Berlin,2025-10-22,6
E00044,R&D,Singapore,2020-07-03,10
E00054,Finance,London,2023-01-03,3
E00065,HR,London,2025-03-10,0
E00066,Finance,London,2025-04-22,0
E00079,HR,London,2024-07-10,6
E00082,Marketing,New York,2022-07-07,8
E00090,Marketing,Toronto,2021-01-05,6
E00092,HR,Tokyo,2025-03-17,0
E00095,Operations,London,2025-06-05,3
E00103,Operations,Sydney,2024-10-12,3
E00105,HR,Toronto,2024-08-12,2
E00106,IT,Singapore,2024-01-09,3
E00120,IT,New York,2025-03-30,9
E00122,Operations,Tokyo,2024-06-15,5
E00127,Sales,Singapore,2023-01-03,5
E00137,HR,Berlin,2025-07-11,2
E00155,IT,Berlin,2020-07-22,10
E00157,Marketing,Sydney,2024-08-10,3
E00165,Operations,New York,2025-04-11,1
E00170,Sales,London,2025-11-19,2
E00180,R&D,Singapore,2021-03-26,6
E00191,R&D,Tokyo,2023-10-28,3
E00200,R&D,London,2023-05-16,8
E00224,Sales,Sydney,2024-11-11,6
E00248,Marketing,London,2020-09-28,10
E00254,Sales,Berlin,2022-12-21,7
E00285,HR,Tokyo,2025-08-26,5
E00296,Finance,Berlin,2024-11-30,3
E00301,Operations,New York,2023-11-01,5
E00318,IT,Singapore,2024-01-17,3
E00322,Sales,Tokyo,2024-04-11,3
E00333,Marketing,Toronto,2022-08-24,7
E00334,R&D,Toronto,2019-08-16,9
E00350,HR,Singapore,2021-12-06,10
E00354,HR,Singapore,2024-09-19,9
E00358,IT,Berlin,2023-03-07,4
E00361,Finance,London,2025-01-31,0
E00365,R&D,London,2018-02-20,10
E00369,IT,Toronto,2025-03-02,1
E00378,IT,Tokyo,2024-12-24,3
E00398,Finance,Singapore,2020-08-31,6
E00425,Marketing,London,2021-01-01,5
E00439,R&D,New York,2022-06-29,4
E00452,Sales,Tokyo,2019-04-28,9
E00465,Operations,Singapore,2025-02-12,3
E00468,R&D,Berlin,2021-05-06,9
E00473,Operations,Singapore,2023-08-15,9
E00474,Marketing,Toronto,2022-08-11,8
E00478,HR,Singapore,2021-06-07,8
E00490,IT,Sydney,2022-06-17,8
E00492,Finance,Sydney,2018-12-02,10
E00494,Finance,Tokyo,2024-08-17,3
E00509,Operations,Toronto,2025-03-14,0
E00512,Marketing,Tokyo,2024-01-11,6
E00518,R&D,London,2021-07-08,6
E00536,IT,New York,2025-01-04,2
E00544,R&D,Toronto,2022-08-28,4
E00548,Sales,New York,2024-05-04,8
E00560,R&D,New York,2025-01-09,4
E00565,HR,Sydney,2021-02-25,6
E00571,IT,Berlin,2025-09-27,2
E00585,Operations,Singapore,2023-04-27,3
E00586,R&D,New York,2025-02-10,6
E00590,HR,Toronto,2023-05-07,9
E00602,Sales,Tokyo,2021-09-27,8
E00634,R&D,Singapore,2021-02-22,5
E00642,Sales,Singapore,2025-10-05,8
E00650,HR,Tokyo,2019-02-05,9
E00656,Sales,Toronto,2016-11-09,10
E00658,Marketing,Sydney,2024-11-02,5
E00667,HR,Singapore,2025-07-17,3
E00668,Sales,London,2025-07-15,4
E00674,R&D,Toronto,2024-04-05,2
E00695,Marketing,Berlin,2025-03-15,5
E00696,Finance,Berlin,2023-04-21,6
E00702,Finance,Tokyo,2020-04-06,6
E00707,Operations,Tokyo,2025-10-08,8
E00708,R&D,London,2021-01-16,6
E00709,IT,Singapore,2024-11-25,4
E00723,R&D,Singapore,2024-10-03,3
E00724,HR,New York,2023-01-07,3
E00725,Marketing,Berlin,2025-10-19,0
E00754,R&D,Berlin,2024-05-12,7
E00757,R&D,New York,2025-06-20,1
E00778,HR,Sydney,2021-06-02,6
E00782,Marketing,London,2025-10-08,2
E00790,Operations,London,2017-11-05,9
E00791,Marketing,Tokyo,2020-06-17,7
E00805,R&D,Berlin,2020-10-31,9
E00807,HR,London,2025-03-23,1
E00812,Sales,London,2023-11-26,6
E00817,R&D,Sydney,2020-01-03,6
E00819,Operations,Singapore,2016-04-22,10
E00821,R&D,Sydney,2025-08-13,3
E00827,Operations,Tokyo,2023-11-02,6
E00830,Marketing,New York,2025-02-12,1
E00842,Sales,Tokyo,2023-06-24,4
E00855,Sales,Sydney,2024-07-26,2
E00874,Finance,Sydney,2025-10-27,3
E00886,IT,New York,2022-06-26,6
E00888,Marketing,Berlin,2020-11-11,9
E00899,Sales,Toronto,2025-04-09,2
E00908,Operations,Tokyo,2022-02-24,4
E00910,Sales,New York,2023-09-14,6
E00913,IT,Berlin,2017-09-10,9
E00920,Operations,Sydney,2024-07-03,10
E00922,HR,Sydney,2024-03-08,5
E00925,Marketing,London,2021-05-18,5
E00926,HR,Toronto,2024-12-25,2
E00942,Operations,Singapore,2024-08-25,7
E00944,Marketing,London,2024-09-25,2
E00949,Finance,New York,2024-06-19,7
E00950,IT,London,2022-02-11,4
E00961,IT,Sydney,2024-06-18,3
E00964,R&D,Berlin,2025-02-19,1
E00984,Marketing,New York,2023-05-13,3
E01001,Marketing,Toronto,2025-08-20,1
E01006,IT,Tokyo,2020-06-19,7
E01010,HR,New York,2020-08-02,9
E01011,Marketing,Sydney,2024-08-12,6
E01025,Marketing,Berlin,2021-09-24,5
E01027,R&D,Toronto,2025-01-30,1
E01038,Finance,New York,2025-07-11,2
E01039,Sales,Berlin,2023-02-20,6
E01055,Finance,Tokyo,2020-07-05,10
E01057,Marketing,New York,2017-02-02,9
E01062,Sales,Tokyo,2025-03-22,2
E01063,Marketing,Toronto,2025-02-24,1
E01074,Marketing,Toronto,2025-02-04,4
E01083,HR,Singapore,2025-03-06,2
E01085,Marketing,London,2025-04-17,8
E01087,R&D,Sydney,2025-08-11,1
E01091,Operations,Berlin,2023-11-04,4
E01103,Sales,Singapore,2020-10-23,7
E01104,R&D,New York,2021-09-24,5
E01105,HR,London,2023-02-07,9
E01112,IT,Berlin,2018-01-04,10
E01114,Operations,Sydney,2024-03-06,3
E01117,Finance,Toronto,2025-03-14,0
E01129,Operations,London,2025-02-17,0
E01158,Marketing,Sydney,2020-12-04,10
E01159,Operations,Sydney,2022-10-13,5
E01162,Finance,Toronto,2024-04-09,4
E01166,IT,London,2023-02-17,5
E01186,R&D,Sydney,2024-08-17,6
E01198,HR,Sydney,2025-12-11,3
E01210,HR,Sydney,2025-04-03,2
E01221,R&D,New York,2025-03-26,0
E01235,IT,Toronto,2020-10-12,7
E01238,Marketing,Toronto,2025-07-07,1
E01244,Finance,Berlin,2025-12-03,9
E01249,IT,London,2022-12-05,6
E01267,R&D,Sydney,2022-03-07,5
E01291,IT,London,2018-12-08,8
E01308,Sales,Toronto,2024-11-09,2
E01313,Operations,Toronto,2024-11-16,10
E01318,Operations,New York,2021-04-16,5
E01328,Sales,Tokyo,2025-11-29,4
E01330,R&D,Sydney,2025-01-30,0
E01344,Marketing,Toronto,2017-01-20,9
E01372,Marketing,New York,2025-10-12,0
E01373,Sales,Tokyo,2025-05-21,4
E01377,Sales,Tokyo,2022-12-27,8
E01387,HR,Berlin,2022-07-13,7
E01423,Sales,New York,2021-08-15,6
E01436,R&D,Singapore,2025-09-07,6
E01464,Finance,London,2025-12-11,0
E01466,Marketing,New York,2025-04-21,4
E01470,Operations,London,2025-02-09,0
E01473,IT,Singapore,2016-12-24,10
E01479,Sales,Sydney,2025-07-26,0
E01480,Sales,London,2025-05-01,2
E01485,R&D,Tokyo,2021-10-17,7
E01487,R&D,New York,2025-01-11,2
E01492,Sales,Berlin,2023-02-08,10
E01494,Sales,Toronto,2025-07-22,1
E01528,IT,Toronto,2022-03-29,5
