Employee_ID,Department,Salary,Job_Level,Location
E00001,IT,182483,6,New York
E00002,IT,33238,1,New York
E00003,R&D,148829,5,Toronto
E00004,Marketing,97896,3,Berlin
E00005,IT,87652,3,Berlin
E00006,IT,87682,3,Sydney
E00007,Sales,121209,4,New York
E00008,Finance,81375,3,Toronto
E00009,Marketing,174935,6,Berlin
E00010,Marketing,25459,1,Berlin
E00011,R&D,67328,2,Tokyo
E00012,Finance,120337,4,Sydney
E00013,IT,117278,4,Tokyo
E00014,Operations,84245,3,Singapore
E00015,R&D,146996,5,Berlin
E00016,Finance,56991,2,Berlin
E00017,IT,89932,3,Berlin
E00018,Sales,64112,2,London
E00019,R&D,91044,3,Toronto
E00020,IT,143359,5,Sydney
E00021,IT,63692,2,Sydney
E00022,Marketing,119421,4,London
E00023,Sales,22607,1,Toronto
E00024,Finance,117696,4,Sydney
E00025,IT,151718,5,Toronto
E00026,Marketing,121620,4,London
E00027,Marketing,176615,6,Toronto
E00028,IT,185154,6,Sydney
E00029,Operations,145803,5,Singapore
E00030,IT,61656,2,Toronto
E00031,IT,27604,1,Sydney
E00032,R&D,84468,3,Toronto
E00033,IT,154062,5,Tokyo
E00034,HR,59639,2,Berlin
E00035,Sales,91808,3,Sydney
E00036,HR,61806,2,Sydney
E00037,Sales,29820,1,New York
E00038,R&D,136901,5,Tokyo
E00039,Finance,90435,3,New York
E00040,Sales,120458,4,Sydney
E00041,R&D,118901,4,Berlin
E00042,Finance,127389,4,Singapore
E00043,Finance,85957,3,Tokyo
E00044,R&D,154577,5,Singapore
E00045,Operations,87351,3,Tokyo
E00046,Finance,30485,1,Berlin
E00047,IT,86489,3,Toronto
E00048,Marketing,118039,4,Berlin
E00049,Sales,91480,3,New York
E00050,Marketing,60025,2,Toronto
E00051,R&D,142923,5,Toronto
E00052,Finance,28286,1,New York
E00053,Operations,179193,6,London
E00054,Finance,189430,6,London
E00055,Operations,151287,5,Sydney
E00056,Finance,110406,4,Toronto
E00057,Finance,120301,4,Berlin
E00058,Finance,179038,6,Tokyo
E00059,Finance,119826,4,Singapore
E00060,HR,125714,4,Berlin
E00061,HR,123955,4,Tokyo
E00062,Operations,37013,1,Sydney
E00063,Sales,62934,2,Tokyo
E00064,Sales,85047,3,Tokyo
E00065,HR,180498,6,London
E00066,Finance,52246,2,London
E00067,Operations,174688,6,Sydney
E00068,R&D,115402,4,Tokyo
E00069,Operations,26083,1,Singapore
E00070,R&D,34067,1,Berlin
E00071,Operations,91137,3,Toronto
E00072,Sales,81962,3,New York
E00073,Marketing,91299,3,Singapore
E00074,Operations,23815,1,London
E00075,Sales,32609,1,New York
E00076,Marketing,151252,5,Sydney
E00077,Marketing,86599,3,Berlin
E00078,Finance,121465,4,Toronto
E00079,HR,99328,3,London
E00080,HR,54043,2,Toronto
E00081,Marketing,55126,2,Berlin
E00082,Marketing,155792,5,New York
E00083,Operations,154816,5,Sydney
E00084,HR,154110,5,Sydney
E00085,R&D,58773,2,New York
E00086,R&D,115552,4,Sydney
E00087,Operations,59614,2,Toronto
E00088,IT,91383,3,London
E00089,HR,120065,4,Toronto
E00090,Marketing,88676,3,Toronto
E00091,Operations,123128,4,Toronto
E00092,HR,84645,3,Tokyo
E00093,R&D,148882,5,Tokyo
E00094,R&D,152366,5,Singapore
E00095,Operations,85766,3,London
E00096,Operations,27767,1,Tokyo
E00097,HR,181070,6,Sydney
E00098,Finance,60865,2,Tokyo
E00099,HR,145580,5,Singapore
E00100,Operations,90291,3,Tokyo
E00101,R&D,151788,5,London
E00102,Marketing,125415,4,Toronto
