Employee_ID,Gender,Age,Department,Job_Level,Hire_Date,Termination_Date,Status,Location
E00001,O,39,IT,6,2018-12-23,2024-07-03,Resigned,New York
E00002,F,35,IT,1,2018-02-07,,Active,New York
E00003,O,48,R&D,5,2018-10-30,,Active,Toronto
E00004,O,31,Marketing,3,2018-02-19,,Active,Berlin
E00005,F,60,IT,3,2019-09-23,,Active,Berlin
E00006,F,45,IT,3,2024-12-08,2025-05-05,Resigned,Sydney
E00007,M,39,Sales,4,2022-09-27,,Active,New York
E00008,F,26,Finance,3,2024-11-17,,Active,Toronto
E00009,F,57,Marketing,6,2018-02-07,,Active,Berlin
E00010,F,35,Marketing,1,2024-03-02,,Active,Berlin
E00011,F,38,R&D,2,2017-12-12,2022-07-15,Terminated,Tokyo
E00012,M,27,Finance,4,2015-09-26,,Active,Sydney
E00013,O,60,IT,4,2022-08-07,,Active,Tokyo
E00014,O,43,Operations,3,2016-11-01,,Active,Singapore
E00015,O,33,R&D,5,2023-07-21,,Active,Berlin
E00016,M,56,Finance,2,2023-05-23,,Active,Berlin
E00017,M,37,IT,3,2015-08-11,2025-11-22,Resigned,Berlin
E00018,O,52,Sales,2,2023-11-29,2025-12-05,Resigned,London
E00019,F,50,R&D,3,2023-11-03,,Active,Toronto
E00020,F,36,IT,5,2024-07-30,2025-06-09,Resigned,Sydney
E00021,F,39,IT,2,2025-11-13,,Active,Sydney
E00022,O,48,Marketing,4,2018-01-10,2024-10-24,Terminated,London
E00023,F,28,Sales,1,2015-04-17,,Active,Toronto
E00024,M,30,Finance,4,2021-04-27,2025-02-21,Resigned,Sydney
E00025,M,22,IT,5,2016-09-16,,Active,Toronto
E00026,F,25,Marketing,4,2017-12-10,,Active,London
E00027,F,57,Marketing,6,2025-06-19,,Active,Toronto
E00028,M,56,IT,6,2015-10-07,,Active,Sydney
E00029,F,32,Operations,5,2015-05-17,,Active,Singapore
E00030,O,47,IT,2,2016-01-17,,Active,Toronto
E00031,O,48,IT,1,2025-03-22,,Active,Sydney
E00032,M,37,R&D,3,2019-07-03,,Active,Toronto
E00033,M,58,IT,5,2016-01-03,2020-11-19,Terminated,Tokyo
E00034,M,50,HR,2,2023-10-02,,Active,Berlin
E00035,O,28,Sales,3,2017-06-06,,Active,Sydney
E00036,F,43,HR,2,2018-10-22,,Active,Sydney
E00037,F,49,Sales,1,2019-05-17,2022-05-04,Resigned,New York
E00038,O,22,R&D,5,2016-04-23,2019-01-16,Resigned,Tokyo
E00039,F,45,Finance,3,2015-09-12,,Active,New York
E00040,F,31,Sales,4,2018-05-23,,Active,Sydney
E00041,M,37,R&D,4,2019-07-16,2025-10-22,Resigned,Berlin
E00042,M,44,Finance,4,2019-12-21,,Active,Singapore
E00043,O,39,Finance,3,2016-10-08,,Active,Tokyo
E00044,F,43,R&D,5,2015-11-04,2020-07-03,Resigned,Singapore
E00045,M,42,Operations,3,2021-04-07,,Active,Tokyo
E00046,O,49,Finance,1,2015-07-05,,Active,Berlin
E00047,F,42,IT,3,2025-10-24,,Active,Toronto
E00048,O,40,Marketing,4,2023-03-05,2025-03-24,Terminated,Berlin
E00049,O,40,Sales,3,2018-11-07,,Active,New York
E00050,F,54,Marketing,2,2022-03-14,,Active,Toronto
E00051,O,43,R&D,5,2016-11-26,,Active,Toronto
E00052,M,37,Finance,1,2022-11-15,,Active,New York
E00053,O,46,Operations,6,2022-03-26,,Active,London
E00054,F,55,Finance,6,2022-11-19,2023-01-03,Resigned,London
E00055,O,42,Operations,5,2022-01-09,,Active,Sydney
E00056,F,50,Finance,4,2019-02-25,,Active,Toronto
E00057,O,26,Finance,4,2019-10-16,2022-02-15,Terminated,Berlin
E00058,M,31,Finance,6,2018-12-03,2022-08-20,Terminated,Tokyo
E00059,M,46,Finance,4,2024-05-20,,Active,Singapore
E00060,M,48,HR,4,2023-04-18,,Active,Berlin
E00061,M,23,HR,4,2021-04-01,,Active,Tokyo
E00062,M,47,Operations,1,2024-04-25,,Active,Sydney
E00063,M,25,Sales,2,2019-08-30,,Active,Tokyo
E00064,F,48,Sales,3,2019-12-11,,Active,Tokyo
E00065,M,26,HR,6,2025-05-19,2025-03-10,Resigned,London
E00066,O,52,Finance,2,2025-12-10,2025-04-22,Resigned,London
E00067,M,29,Operations,6,2017-04-05,,Active,Sydney
E00068,O,34,R&D,4,2016-11-30,,Active,Tokyo
E00069,O,58,Operations,1,2015-12-20,,Active,Singapore
E00070,O,48,R&D,1,2022-12-11,2024-09-03,Terminated,Berlin
E00071,O,56,Operations,3,2022-05-21,,Active,Toronto
E00072,M,50,Sales,3,2018-10-31,,Active,New York
E00073,M,33,Marketing,3,2022-08-25,2024-01-14,Terminated,Singapore
E00074,M,37,Operations,1,2021-09-03,,Active,London
E00075,F,40,Sales,1,2018-08-09,,Active,New York
E00076,F,44,Marketing,5,2021-02-11,,Active,Sydney
E00077,O,38,Marketing,3,2018-05-13,2020-11-12,Terminated,Berlin
E00078,M,39,Finance,4,2024-12-06,,Active,Toronto
E00079,M,33,HR,3,2019-03-23,2024-07-10,Resigned,London
E00080,O,53,HR,2,2016-04-06,,Active,Toronto
E00081,F,25,Marketing,2,2019-08-06,,Active,Berlin
E00082,F,25,Marketing,5,2017-10-03,2022-07-07,Resigned,New York
E00083,F,36,Operations,5,2023-05-27,,Active,Sydney
E00084,F,25,HR,5,2024-04-04,,Active,Sydney
E00085,F,37,R&D,2,2017-12-07,,Active,New York
E00086,F,40,R&D,4,2015-08-03,2020-03-08,Terminated,Sydney
E00087,O,49,Operations,2,2016-04-06,,Active,Toronto
E00088,M,60,IT,3,2024-10-01,,Active,London
E00089,O,39,HR,4,2023-04-01,,Active,Toronto
E00090,M,60,Marketing,3,2019-04-30,2021-01-05,Resigned,Toronto
E00091,F,39,Operations,4,2017-01-30,,Active,Toronto
E00092,F,42,HR,3,2025-06-28,2025-03-17,Resigned,Tokyo
E00093,F,24,R&D,5,2022-01-09,2024-07-10,Terminated,Tokyo
E00094,M,51,R&D,5,2021-04-17,2024-02-02,Terminated,Singapore
E00095,F,50,Operations,3,2022-03-13,2025-06-05,Resigned,London
E00096,M,36,Operations,1,2016-04-18,,Active,Tokyo
E00097,O,39,HR,6,2021-03-30,,Active,Sydney
E00098,O,60,Finance,2,2023-10-12,,Active,Tokyo
E00099,F,39,HR,5,2015-03-07,,Active,Singapore
E00100,F,43,Operations,3,2023-10-12,,Active,Tokyo
E00101,M,46,R&D,5,2018-09-06,,Active,London
E00102,O,46,Marketing,4,2025-05-01,,Active,Toronto
E00103,M,28,Operations,3,2022-12-07,2024-10-12,Resigned,Sydney
