Employee_ID,Engagement_Score,Department,Location
E00001,67,IT,New York
E00002,92,IT,New York
E00003,66,R&D,Toronto
E00004,81,Marketing,Berlin
E00005,78,IT,Berlin
E00006,63,IT,Sydney
E00007,41,Sales,New York
E00008,61,Finance,Toronto
E00009,74,Marketing,Berlin
E00010,48,Marketing,Berlin
E00011,66,R&D,Tokyo
E00012,48,Finance,Sydney
E00013,71,IT,Tokyo
E00014,75,Operations,Singapore
E00015,65,R&D,Berlin
E00016,97,Finance,Berlin
E00017,54,IT,Berlin
E00018,51,Sales,London
E00019,40,R&D,Toronto
E00020,72,IT,Sydney
E00021,72,IT,Sydney
E00022,65,Marketing,London
E00023,59,Sales,Toronto
E00024,85,Finance,Sydney
E00025,43,IT,Toronto
E00026,64,Marketing,London
E00027,79,Marketing,Toronto
E00028,83,IT,Sydney
E00029,65,Operations,Singapore
E00030,84,IT,Toronto
E00031,67,IT,Sydney
E00032,52,R&D,Toronto
E00033,90,IT,Tokyo
E00034,85,HR,Berlin
E00035,60,Sales,Sydney
E00036,93,HR,Sydney
E00037,93,Sales,New York
E00038,82,R&D,Tokyo
E00039,65,Finance,New York
E00040,40,Sales,Sydney
E00041,75,R&D,Berlin
E00042,62,Finance,Singapore
E00043,62,Finance,Tokyo
E00044,74,R&D,Singapore
E00045,77,Operations,Tokyo
E00046,84,Finance,Berlin
E00047,65,IT,Toronto
E00048,48,Marketing,Berlin
E00049,73,Sales,New York
E00050,66,Marketing,Toronto
E00051,63,R&D,Toronto
E00052,57,Finance,New York
E00053,76,Operations,London
E00054,72,Finance,London
E00055,68,Operations,Sydney
E00056,69,Finance,Toronto
E00057,100,Finance,Berlin
E00058,74,Finance,Tokyo
E00059,52,Finance,Singapore
E00060,81,HR,Berlin
E00061,56,HR,Tokyo
E00062,48,Operations,Sydney
E00063,100,Sales,Tokyo
E00064,61,Sales,Tokyo
E00065,62,HR,London
E00066,71,Finance,London
E00067,77,Operations,Sydney
E00068,93,R&D,Tokyo
E00069,65,Operations,Singapore
E00070,51,R&D,Berlin
E00071,89,Operations,Toronto
E00072,72,Sales,New York
E00073,81,Marketing,Singapore
E00074,50,Operations,London
E00075,74,Sales,New York
E00076,75,Marketing,Sydney
E00077,73,Marketing,Berlin
E00078,59,Finance,Toronto
E00079,77,HR,London
E00080,79,HR,Toronto
E00081,81,Marketing,Berlin
E00082,57,Marketing,New York
E00083,76,Operations,Sydney
E00084,98,HR,Sydney
E00085,58,R&D,New York
E00086,57,R&D,Sydney
E00087,75,Operations,Toronto
E00088,82,IT,London
E00089,91,HR,Toronto
E00090,100,Marketing,Toronto
E00091,57,Operations,Toronto
E00092,77,HR,Tokyo
E00093,80,R&D,Tokyo
E00094,68,R&D,Singapore
E00095,47,Operations,London
E00096,82,Operations,Tokyo
