Employee_ID,Experience_Years,Department,Job_Level
E00001,7,IT,6
E00002,7,IT,1
E00003,7,R&D,5
E00004,7,Marketing,3
E00005,6,IT,3
E00006,1,IT,3
E00007,3,Sales,4
E00008,1,Finance,3
E00009,7,Marketing,6
E00010,1,Marketing,1
E00011,8,R&D,2
E00012,10,Finance,4
E00013,3,IT,4
E00014,9,Operations,3
E00015,2,R&D,5
E00016,2,Finance,2
E00017,10,IT,3
E00018,2,Sales,2
E00019,2,R&D,3
E00020,1,IT,5
E00021,0,IT,2
E00022,7,Marketing,4
E00023,10,Sales,1
E00024,4,Finance,4
E00025,9,IT,5
E00026,8,Marketing,4
E00027,0,Marketing,6
E00028,10,IT,6
E00029,10,Operations,5
E00030,9,IT,2
E00031,0,IT,1
E00032,6,R&D,3
E00033,9,IT,5
E00034,2,HR,2
E00035,8,Sales,3
E00036,7,HR,2
E00037,6,Sales,1
E00038,9,R&D,5
E00039,10,Finance,3
E00040,7,Sales,4
E00041,6,R&D,4
E00042,6,Finance,4
E00043,9,Finance,3
E00044,10,R&D,5
E00045,4,Operations,3
E00046,10,Finance,1
E00047,0,IT,3
E00048,2,Marketing,4
E00049,7,Sales,3
E00050,3,Marketing,2
E00051,9,R&D,5
E00052,3,Finance,1
E00053,3,Operations,6
E00054,3,Finance,6
E00055,3,Operations,5
E00056,6,Finance,4
E00057,6,Finance,4
E00058,7,Finance,6
E00059,1,Finance,4
E00060,2,HR,4
E00061,4,HR,4
E00062,1,Operations,1
E00063,6,Sales,2
E00064,6,Sales,3
E00065,0,HR,6
E00066,0,Finance,2
E00067,8,Operations,6
E00068,9,R&D,4
E00069,10,Operations,1
E00070,3,R&D,1
E00071,3,Operations,3
E00072,7,Sales,3
E00073,3,Marketing,3
E00074,4,Operations,1
E00075,7,Sales,1
E00076,4,Marketing,5
E00077,7,Marketing,3
E00078,1,Finance,4
E00079,6,HR,3
E00080,9,HR,2
E00081,6,Marketing,2
E00082,8,Marketing,5
E00083,2,Operations,5
E00084,1,HR,5
E00085,8,R&D,2
E00086,10,R&D,4
E00087,9,Operations,2
E00088,1,IT,3
E00089,2,HR,4
E00090,6,Marketing,3
E00091,8,Operations,4
E00092,0,HR,3
E00093,3,R&D,5
E00094,4,R&D,5
E00095,3,Operations,3
E00096,9,Operations,1
E00097,4,HR,6
E00098,2,Finance,2
E00099,10,HR,5
E00100,2,Operations,3
E00101,7,R&D,5
E00102,0,Marketing,4
E00103,3,Operations,3
E00104,1,Marketing,3
E00105,2,HR,6
E00106,3,IT,6
E00107,7,HR,4
E00108,3,IT,4
E00109,3,HR,3
E00110,6,HR,3
E00111,5,IT,4
E00112,1,IT,6
E00113,0,Finance,2
E00114,5,Sales,1
E00115,2,Marketing,2
E00116,6,Sales,3
E00117,2,Finance,2
E00118,1,IT,3
E00119,1,IT,5
E00120,9,IT,3
E00121,1,R&D,5
E00122,5,Operations,3
E00123,6,R&D,1
E00124,8,IT,3
E00125,8,Operations,2
E00126,9,Finance,3
E00127,5,Sales,2
E00128,5,R&D,4
E00129,6,Operations,6
E00130,3,Marketing,1
E00131,2,HR,6
E00132,9,Operations,4
E00133,4,Finance,3
E00134,0,R&D,3
E00135,8,Marketing,6
E00136,0,R&D,4
E00137,2,HR,1
E00138,7,IT,3
E00139,10,R&D,6
E00140,8,Operations,4
E00141,8,Marketing,4
E00142,0,Finance,5
E00143,9,Marketing,2
E00144,7,Operations,3
E00145,6,HR,2
E00146,2,Finance,5
E00147,9,IT,1
E00148,9,R&D,4
E00149,7,HR,4
E00150,7,Sales,6
E00151,5,IT,5
E00152,8,HR,2
E00153,0,Sales,5
E00154,0,Marketing,4
E00155,10,IT,4
E00156,3,Operations,6
E00157,3,Marketing,2
E00158,2,R&D,4
E00159,10,Marketing,3
E00160,6,Operations,4
E00161,6,Operations,2
E00162,0,IT,5
E00163,10,R&D,5
E00164,9,Finance,2
E00165,1,Operations,6
E00166,0,Marketing,4
E00167,7,Operations,3
E00168,4,Sales,5
E00169,9,R&D,3
E00170,2,Sales,3
E00171,5,Marketing,4
E00172,8,Sales,6
E00173,7,IT,1
E00174,9,Sales,2
E00175,1,Operations,6
E00176,2,Operations,2
E00177,4,Sales,5
E00178,5,R&D,3
E00179,0,HR,6
E00180,6,R&D,4
E00181,10,Sales,4
E00182,9,Sales,3
E00183,5,HR,4
E00184,8,Marketing,4
E00185,1,R&D,3
E00186,6,IT,3
E00187,10,Operations,6
E00188,4,Sales,3
E00189,8,HR,1
E00190,3,IT,6
E00191,3,R&D,2
E00192,9,Sales,3
E00193,5,R&D,6
E00194,2,Sales,1
E00195,3,IT,3
E00196,0,R&D,4
E00197,10,Sales,4
E00198,5,Finance,6
E00199,8,Finance,5
E00200,8,R&D,5
E00201,1,Sales,3
E00202,0,R&D,4
E00203,7,Marketing,4
E00204,5,Sales,4
E00205,8,IT,4
E00206,7,Sales,5
E00207,4,HR,1
E00208,1,IT,3
E00209,6,Sales,4
E00210,5,IT,5
E00211,8,Sales,3
E00212,1,HR,2
E00213,2,Finance,3
E00214,1,Operations,2
E00215,6,Operations,6
E00216,0,IT,5
E00217,8,Marketing,5
E00218,5,IT,1
E00219,8,Sales,4
E00220,2,Marketing,2
E00221,6,Finance,3
E00222,6,HR,6
E00223,5,IT,6
E00224,6,Sales,3
E00225,4,R&D,1
E00226,3,Operations,4
E00227,7,IT,1
E00228,8,IT,4
E00229,6,Operations,1
E00230,7,Sales,4
E00231,5,HR,2
E00232,2,Sales,4
E00233,6,Marketing,2
E00234,6,Operations,5
E00235,6,HR,4
E00236,1,Finance,2
E00237,9,Sales,2
E00238,7,IT,5
E00239,1,Marketing,6
E00240,1,Finance,4
E00241,10,R&D,5
E00242,8,Marketing,3
E00243,0,Sales,4
E00244,8,Finance,4
E00245,4,Marketing,6
E00246,10,Finance,2
E00247,3,IT,5
E00248,10,Marketing,5
E00249,6,Sales,3
E00250,8,HR,5
E00251,2,HR,6
E00252,7,Marketing,5
E00253,2,Operations,4
E00254,7,Sales,1
E00255,7,R&D,2
E00256,7,Finance,1
E00257,3,HR,3
E00258,3,Operations,4
E00259,8,Marketing,5
E00260,2,Marketing,2
E00261,8,R&D,4
E00262,0,Operations,2
E00263,8,IT,1
E00264,10,Finance,4
E00265,10,IT,5
E00266,7,IT,5
E00267,7,HR,4
E00268,4,Sales,1
E00269,3,IT,2
E00270,3,Finance,6
E00271,10,R&D,2
E00272,1,HR,5
E00273,2,Sales,2
E00274,1,Finance,1
E00275,7,R&D,4
E00276,1,Operations,4
E00277,4,Finance,6
E00278,8,Marketing,3
E00279,2,IT,1
E00280,7,Sales,6
E00281,8,HR,3
E00282,1,HR,2
E00283,5,IT,3
E00284,5,Operations,2
E00285,5,HR,3
E00286,7,Sales,1
E00287,7,Marketing,6
E00288,4,Marketing,4
E00289,0,R&D,5
E00290,0,R&D,1
E00291,2,IT,3
E00292,2,Marketing,6
E00293,5,IT,6
E00294,3,HR,1
E00295,0,Sales,6
E00296,3,Finance,5
E00297,1,R&D,2
E00298,9,Sales,1
E00299,0,Finance,1
E00300,5,Operations,5
E00301,5,Operations,6
E00302,1,Marketing,5
E00303,3,R&D,5
E00304,3,IT,3
E00305,9,Sales,4
E00306,3,Finance,3
E00307,5,Operations,3
E00308,6,Marketing,6
E00309,9,Sales,1
E00310,8,HR,6
E00311,2,HR,3
E00312,10,Sales,2
E00313,3,R&D,2
E00314,2,R&D,1
E00315,3,Operations,6
E00316,6,Finance,2
E00317,0,Finance,4
E00318,3,IT,2
E00319,9,IT,3
E00320,4,HR,6
E00321,2,IT,5
E00322,3,Sales,6
E00323,0,HR,4
E00324,3,IT,6
E00325,9,R&D,2
E00326,7,Finance,6
E00327,2,HR,5
E00328,9,IT,4
E00329,5,Marketing,5
E00330,7,Operations,1
E00331,0,Marketing,4
E00332,8,HR,5
E00333,7,Marketing,2
E00334,9,R&D,6
E00335,8,Operations,6
E00336,9,Sales,3
E00337,1,Operations,1
E00338,7,Operations,1
E00339,7,Sales,6
E00340,0,Operations,1
E00341,6,Marketing,4
E00342,1,Finance,5
E00343,2,IT,1
E00344,9,Marketing,6
E00345,2,HR,1
E00346,9,IT,2
E00347,5,HR,3
E00348,8,Finance,5
E00349,6,HR,2
E00350,10,HR,6
E00351,6,Operations,6
E00352,9,Operations,5
E00353,7,Sales,2
E00354,9,HR,1
E00355,4,Marketing,2
E00356,7,R&D,2
E00357,0,IT,5
E00358,4,IT,4
E00359,2,Sales,3
E00360,10,Operations,1
E00361,0,Finance,1
E00362,5,Finance,5
E00363,2,Finance,2
E00364,2,Finance,2
E00365,10,R&D,3
E00366,9,R&D,4
E00367,0,Marketing,6
E00368,6,Operations,2
E00369,1,IT,5
E00370,5,HR,1
E00371,9,IT,2
E00372,4,Marketing,4
E00373,0,IT,4
E00374,10,Sales,1
E00375,2,Marketing,6
E00376,0,Marketing,1
E00377,2,Finance,4
E00378,3,IT,5
E00379,9,R&D,4
E00380,0,Sales,4
E00381,10,Marketing,2
E00382,9,Operations,2
E00383,4,Operations,4
E00384,2,IT,6
E00385,8,Finance,2
E00386,4,HR,1
E00387,2,Marketing,1
E00388,9,Operations,5
E00389,1,Marketing,4
E00390,10,Finance,5
E00391,5,Marketing,3
E00392,7,Sales,6
E00393,7,R&D,2
E00394,9,Sales,5
E00395,7,Operations,2
E00396,5,HR,2
E00397,1,IT,3
E00398,6,Finance,3
E00399,0,Finance,2
E00400,7,R&D,5
E00401,7,Sales,4
E00402,2,IT,6
E00403,6,IT,1
E00404,1,Finance,2
E00405,4,Marketing,3
E00406,0,R&D,6
E00407,6,Sales,5
E00408,6,IT,3
E00409,10,HR,1
E00410,2,Operations,6
E00411,8,HR,5
E00412,10,R&D,3
E00413,1,Marketing,1
E00414,7,Marketing,1
E00415,7,IT,1
E00416,8,Marketing,5
E00417,5,Operations,4
E00418,7,Sales,1
E00419,0,Operations,1
E00420,0,IT,1
E00421,3,Marketing,5
E00422,6,R&D,6
E00423,9,R&D,1
E00424,5,Sales,5
E00425,5,Marketing,6
E00426,6,Sales,1
E00427,6,IT,2
E00428,8,Sales,1
E00429,5,Operations,6
E00430,4,Marketing,4
E00431,4,R&D,2
E00432,0,Marketing,3
E00433,6,Marketing,1
E00434,2,Operations,6
E00435,0,R&D,4
E00436,2,IT,6
E00437,10,HR,3
E00438,3,IT,4
E00439,4,R&D,1
E00440,5,Finance,6
E00441,3,Operations,5
E00442,5,Sales,2
E00443,3,R&D,1
E00444,3,IT,4
E00445,9,IT,6
E00446,10,Finance,1
E00447,9,R&D,2
E00448,6,Marketing,6
E00449,6,Finance,5
E00450,0,Finance,2
E00451,5,R&D,3
E00452,9,Sales,1
E00453,10,HR,3
E00454,1,HR,4
E00455,0,Finance,6
E00456,7,IT,6
E00457,7,Operations,5
E00458,10,R&D,1
E00459,5,Operations,3
E00460,3,Operations,6
E00461,2,HR,2
E00462,5,HR,2
E00463,9,Sales,6
E00464,4,R&D,4
E00465,3,Operations,5
E00466,10,Finance,5
E00467,0,Finance,6
E00468,9,R&D,1
E00469,4,Marketing,6
E00470,1,R&D,5
E00471,3,HR,1
E00472,2,Finance,6
E00473,9,Operations,5
E00474,8,Marketing,5
E00475,0,Sales,5
E00476,5,Finance,5
E00477,3,IT,3
E00478,8,HR,3
E00479,3,R&D,3
E00480,6,Finance,5
E00481,10,R&D,1
E00482,2,IT,3
E00483,8,Sales,6
E00484,1,Operations,6
E00485,3,Finance,5
E00486,10,IT,3
E00487,9,Marketing,1
E00488,0,Operations,2
E00489,5,Marketing,5
E00490,8,IT,2
E00491,4,Operations,1
E00492,10,Finance,2
E00493,8,Finance,2
E00494,3,Finance,5
E00495,3,Finance,6
E00496,2,Finance,1
E00497,10,IT,4
E00498,2,Marketing,2
E00499,4,Sales,6
E00500,6,HR,2
E00501,1,IT,6
E00502,5,Finance,3
E00503,7,HR,3
E00504,6,Operations,4
E00505,9,Finance,6
E00506,3,R&D,1
E00507,10,Finance,1
E00508,3,Operations,2
E00509,0,Operations,2
E00510,4,Sales,3
E00511,1,Operations,6
E00512,6,Marketing,5
E00513,2,HR,5
E00514,3,Operations,2
E00515,0,HR,4
E00516,7,Operations,6
E00517,7,Finance,3
E00518,6,R&D,2
E00519,1,IT,6
E00520,2,Sales,4
E00521,10,Sales,4
E00522,10,R&D,4
E00523,2,Operations,3
E00524,4,Finance,4
E00525,1,Marketing,5
E00526,8,Marketing,4
E00527,2,Marketing,2
E00528,9,Sales,1
E00529,5,Sales,1
E00530,5,HR,4
E00531,6,R&D,5
E00532,0,Marketing,3
E00533,9,Operations,4
E00534,5,R&D,3
E00535,7,Finance,1
E00536,2,IT,1
E00537,7,R&D,3
E00538,0,Sales,1
E00539,2,HR,4
E00540,3,Marketing,2
E00541,5,IT,5
E00542,1,HR,4
E00543,4,Marketing,2
E00544,4,R&D,5
E00545,1,Marketing,4
E00546,6,Operations,2
E00547,5,Finance,4
E00548,8,Sales,3
E00549,9,Sales,4
E00550,9,R&D,2
E00551,2,HR,2
E00552,9,HR,6
E00553,10,IT,2
E00554,0,Finance,4
E00555,8,Finance,5
E00556,5,R&D,1
E00557,3,Marketing,3
E00558,2,Sales,2
E00559,8,Sales,5
E00560,4,R&D,6
E00561,2,R&D,1
E00562,9,Finance,4
E00563,10,Finance,6
E00564,2,Sales,1
E00565,6,HR,1
E00566,1,Finance,5
E00567,5,R&D,6
E00568,0,Operations,5
E00569,5,Sales,4
E00570,5,Sales,6
E00571,2,IT,5
E00572,2,IT,6
E00573,6,Marketing,2
E00574,4,Sales,1
E00575,9,Finance,6
E00576,5,IT,1
E00577,0,R&D,5
E00578,8,IT,5
E00579,1,R&D,4
E00580,3,Finance,3
E00581,8,IT,5
E00582,2,Marketing,5
E00583,0,HR,4
E00584,5,HR,2
E00585,3,Operations,4
E00586,6,R&D,2
E00587,7,HR,6
E00588,1,R&D,1
E00589,10,IT,2
E00590,9,HR,6
E00591,9,Marketing,5
E00592,4,Operations,3
E00593,6,R&D,2
E00594,4,HR,2
E00595,4,Operations,6
E00596,1,Finance,6
