Employee_ID,Performance_Rating,Last_Promotion_Year,Job_Level,Department
E00001,5,2018,6,IT
E00002,1,2025,1,IT
E00003,3,2017,5,R&D
E00004,3,2018,3,Marketing
E00005,4,2025,3,IT
E00006,2,2021,3,IT
E00007,3,2019,4,Sales
E00008,5,2020,3,Finance
E00009,1,2020,6,Marketing
E00010,3,2020,1,Marketing
E00011,5,2023,2,R&D
E00012,2,2019,4,Finance
E00013,5,2017,4,IT
E00014,2,2024,3,Operations
E00015,3,2025,5,R&D
E00016,5,2022,2,Finance
E00017,1,2024,3,IT
E00018,5,2020,2,Sales
E00019,2,2020,3,R&D
E00020,2,2018,5,IT
E00021,5,2019,2,IT
E00022,3,2023,4,Marketing
E00023,3,2018,1,Sales
E00024,1,2024,4,Finance
E00025,2,2019,5,IT
E00026,4,2021,4,Marketing
E00027,2,2020,6,Marketing
E00028,1,2017,6,IT
E00029,1,2019,5,Operations
E00030,5,2020,2,IT
E00031,5,2022,1,IT
E00032,3,2024,3,R&D
E00033,2,2022,5,IT
E00034,5,2025,2,HR
E00035,1,2025,3,Sales
E00036,3,2025,2,HR
E00037,3,2019,1,Sales
E00038,3,2025,5,R&D
E00039,2,2020,3,Finance
E00040,2,2023,4,Sales
E00041,4,2017,4,R&D
E00042,2,2020,4,Finance
E00043,3,2022,3,Finance
E00044,5,2021,5,R&D
E00045,5,2018,3,Operations
E00046,5,2020,1,Finance
E00047,3,2025,3,IT
E00048,2,2021,4,Marketing
E00049,5,2022,3,Sales
E00050,2,2018,2,Marketing
E00051,2,2021,5,R&D
E00052,1,2024,1,Finance
E00053,2,2017,6,Operations
E00054,4,2019,6,Finance
E00055,5,2023,5,Operations
E00056,3,2025,4,Finance
E00057,5,2018,4,Finance
E00058,5,2024,6,Finance
E00059,1,2023,4,Finance
E00060,5,2020,4,HR
E00061,4,2019,4,HR
E00062,1,2018,1,Operations
E00063,2,2024,2,Sales
E00064,4,2017,3,Sales
E00065,2,2020,6,HR
E00066,4,2021,2,Finance
E00067,1,2017,6,Operations
E00068,2,2018,4,R&D
E00069,4,2022,1,Operations
E00070,2,2023,1,R&D
E00071,5,2021,3,Operations
E00072,5,2023,3,Sales
E00073,3,2021,3,Marketing
E00074,2,2024,1,Operations
E00075,2,2021,1,Sales
E00076,5,2022,5,Marketing
E00077,1,2025,3,Marketing
E00078,5,2021,4,Finance
E00079,3,2017,3,HR
E00080,5,2021,2,HR
E00081,4,2018,2,Marketing
E00082,2,2018,5,Marketing
E00083,4,2021,5,Operations
E00084,1,2020,5,HR
E00085,2,2017,2,R&D
E00086,1,2020,4,R&D
E00087,2,2021,2,Operations
E00088,4,2018,3,IT
E00089,4,2018,4,HR
E00090,3,2017,3,Marketing
E00091,4,2024,4,Operations
E00092,3,2023,3,HR
E00093,1,2023,5,R&D
E00094,4,2017,5,R&D
E00095,2,2021,3,Operations
E00096,1,2019,1,Operations
E00097,4,2020,6,HR
E00098,2,2018,2,Finance
E00099,3,2024,5,HR
E00100,4,2024,3,Operations
E00101,4,2017,5,R&D
E00102,2,2024,4,Marketing
E00103,2,2023,3,Operations
E00104,1,2022,3,Marketing
E00105,3,2020,6,HR
E00106,1,2022,6,IT
E00107,5,2019,4,HR
E00108,2,2020,4,IT
E00109,5,2019,3,HR
E00110,3,2020,3,HR
E00111,3,2017,4,IT
E00112,3,2020,6,IT
E00113,2,2018,2,Finance
E00114,1,2021,1,Sales
E00115,3,2025,2,Marketing
E00116,3,2018,3,Sales
E00117,4,2017,2,Finance
E00118,3,2018,3,IT
E00119,3,2023,5,IT
E00120,4,2024,3,IT
E00121,2,2023,5,R&D
E00122,3,2018,3,Operations
E00123,1,2020,1,R&D
E00124,2,2018,3,IT
E00125,5,2017,2,Operations
E00126,1,2019,3,Finance
E00127,2,2023,2,Sales
E00128,1,2024,4,R&D
E00129,1,2017,6,Operations
E00130,5,2019,1,Marketing
E00131,4,2025,6,HR
E00132,5,2020,4,Operations
E00133,1,2022,3,Finance
E00134,1,2018,3,R&D
E00135,5,2025,6,Marketing
E00136,4,2017,4,R&D
E00137,1,2022,1,HR
E00138,5,2025,3,IT
E00139,3,2017,6,R&D
E00140,1,2018,4,Operations
E00141,3,2018,4,Marketing
E00142,4,2024,5,Finance
E00143,1,2021,2,Marketing
E00144,5,2017,3,Operations
E00145,1,2024,2,HR
E00146,3,2018,5,Finance
E00147,5,2023,1,IT
E00148,3,2019,4,R&D
E00149,4,2025,4,HR
E00150,2,2018,6,Sales
E00151,2,2020,5,IT
E00152,1,2019,2,HR
E00153,5,2022,5,Sales
E00154,3,2017,4,Marketing
E00155,1,2025,4,IT
E00156,5,2020,6,Operations
E00157,5,2019,2,Marketing
E00158,3,2022,4,R&D
E00159,3,2018,3,Marketing
E00160,5,2019,4,Operations
E00161,4,2019,2,Operations
E00162,2,2025,5,IT
E00163,2,2020,5,R&D
E00164,1,2025,2,Finance
E00165,2,2019,6,Operations
E00166,4,2021,4,Marketing
E00167,5,2024,3,Operations
E00168,2,2019,5,Sales
E00169,5,2018,3,R&D
E00170,2,2024,3,Sales
E00171,2,2017,4,Marketing
E00172,2,2024,6,Sales
E00173,5,2025,1,IT
E00174,1,2018,2,Sales
E00175,4,2017,6,Operations
E00176,1,2025,2,Operations
